Symbol,Date,Open,High,Low,Close,Volume
DECV.IDX,06-Apr-2021,129,450,129,445,83254200
DECX.IDX,06-Apr-2021,446,1385,446,1380,293769200
DIFD.IDX,06-Apr-2021,80,86.66,60,66.66,0
DIFI.IDX,06-Apr-2021,90,90,86.66,86.66,0
DIOF.IDX,06-Apr-2021,83.33,86.66,83.33,83.33,0
DIOH.IDX,06-Apr-2021,90,90,90,90,0
DITH.IDX,06-Apr-2021,93.33,93.33,93.33,93.33,0
DITW.IDX,06-Apr-2021,83.33,86.66,73.33,76.66,0
DIVQ.IDX,06-Apr-2021,4214.65,4236.28,4207.65,4215.83,0
DJC.IDX,06-Apr-2021,11224.11,11244.37,11193.18,11206.31,428351600
DJEC.IDX,06-Apr-2021,2356.37,2392.51,2355.71,2377.21,0
DJI.IDX,06-Apr-2021,33500.02,33544.79,33380.43,33430.24,298306700
DJT.IDX,06-Apr-2021,14902.5,14966.14,14827.9,14842.94,89353100
DJU.IDX,06-Apr-2021,888.52,893.81,882.93,893.59,40691700
DJWO.IDX,06-Apr-2021,528.1,530.13,527.41,529.04,0
DLTC.IDX,06-Apr-2021,3510.43,3522.99,3493.01,3500.53,0
DOWE.IDX,06-Apr-2021,1855.64,1882.05,1855.64,1875.58,0
DRCI.IDX,06-Apr-2021,294.77,296.28,294.14,296.26,0
DREI.IDX,06-Apr-2021,408.89,411.12,407.92,411.09,0
DSAE.IDX,06-Apr-2021,1494.42,1500.92,1491.93,1494.58,31327100
DSAF.IDX,06-Apr-2021,1487.15,1499.76,1483.28,1492.61,4548800
DSAG.IDX,06-Apr-2021,261.57,262,259.6,260.74,25284600
DSAI.IDX,06-Apr-2021,989.22,994.4,985.39,987.38,15399900
DSAL.IDX,06-Apr-2021,107.78,112.97,106.24,106.96,6194000
DSAM.IDX,06-Apr-2021,2537.96,2567.21,2533.48,2547.23,39174000
DSAP.IDX,06-Apr-2021,1064.19,1075.8,1058.32,1069.11,142360700
DSAR.IDX,06-Apr-2021,250.49,254.52,249.34,252.35,74728100
DSAS.IDX,06-Apr-2021,1557.11,1565.89,1552.32,1554.39,25867500
DSAT.IDX,06-Apr-2021,610.8,618.02,608.45,613.26,5992500
DSAU.IDX,06-Apr-2021,900.61,910.8,894.24,904.84,136368200
DSAV.IDX,06-Apr-2021,840.03,872.06,839.99,864.58,20582100
DSBC.IDX,06-Apr-2021,1980.69,2014.56,1976.83,2006.3,222820600
